Round: 1
Created: paoletti0 (distance: 76, speed: 2, health: 2)
Created: darden118 (distance: 259, speed: 4, health: 1)
Created: garcia119 (distance: 283, speed: 10, health: 4)
Created: cris120 (distance: 270, speed: 1, health: 5)
Created: bing121 (distance: 18, speed: 5, health: 2)
Created: will122 (distance: 162, speed: 8, health: 5)
Created: fee123 (distance: 154, speed: 6, health: 3)
Created: noah124 (distance: 1, speed: 5, health: 3)
Created: potatobot125 (distance: 207, speed: 6, health: 4)
Created: paoletti126 (distance: 145, speed: 6, health: 5)
Created: darden127 (distance: 143, speed: 7, health: 5)
Created: garcia128 (distance: 67, speed: 2, health: 4)
Created: cris129 (distance: 13, speed: 7, health: 2)
Created: bing130 (distance: 244, speed: 2, health: 1)
Created: will131 (distance: 16, speed: 8, health: 2)
Created: fee132 (distance: 49, speed: 1, health: 2)
Created: noah133 (distance: 59, speed: 10, health: 1)
Created: potatobot134 (distance: 74, speed: 7, health: 2)
Created: paoletti135 (distance: 180, speed: 3, health: 2)
Created: darden136 (distance: 39, speed: 3, health: 2)
Created: garcia137 (distance: 81, speed: 5, health: 4)
Created: cris138 (distance: 55, speed: 5, health: 4)
Created: bing139 (distance: 68, speed: 8, health: 2)
Created: will140 (distance: 89, speed: 3, health: 4)
Created: fee141 (distance: 144, speed: 1, health: 3)
Created: noah142 (distance: 137, speed: 9, health: 5)
Created: potatobot143 (distance: 87, speed: 10, health: 2)
Created: paoletti144 (distance: 53, speed: 9, health: 1)
Created: darden145 (distance: 290, speed: 1, health: 5)
Created: garcia146 (distance: 171, speed: 2, health: 5)
Created: cris147 (distance: 40, speed: 8, health: 3)
Created: bing148 (distance: 82, speed: 4, health: 1)
Created: will149 (distance: 259, speed: 3, health: 5)
Created: fee150 (distance: 9, speed: 8, health: 2)
Created: noah151 (distance: 4, speed: 4, health: 5)
Created: potatobot152 (distance: 140, speed: 10, health: 5)
Created: paoletti153 (distance: 147, speed: 5, health: 3)
Created: darden154 (distance: 28, speed: 8, health: 4)
Created: garcia155 (distance: 82, speed: 1, health: 5)
Created: cris156 (distance: 279, speed: 2, health: 5)
Created: bing157 (distance: 257, speed: 6, health: 5)
Created: will158 (distance: 188, speed: 9, health: 4)
Created: fee159 (distance: 60, speed: 2, health: 5)
Created: noah160 (distance: 33, speed: 6, health: 3)
Created: potatobot161 (distance: 282, speed: 5, health: 4)
Created: paoletti162 (distance: 30, speed: 4, health: 3)
Created: darden163 (distance: 192, speed: 3, health: 3)
Created: garcia164 (distance: 100, speed: 2, health: 5)
Created: cris165 (distance: 265, speed: 3, health: 2)
Created: bing166 (distance: 221, speed: 2, health: 4)
Created: will167 (distance: 115, speed: 5, health: 1)
Created: fee168 (distance: 164, speed: 5, health: 5)
Created: noah169 (distance: 113, speed: 5, health: 1)
Created: potatobot170 (distance: 68, speed: 3, health: 3)
Created: paoletti171 (distance: 30, speed: 5, health: 1)
Created: darden172 (distance: 183, speed: 7, health: 5)
Created: garcia173 (distance: 98, speed: 5, health: 1)
Created: cris174 (distance: 184, speed: 5, health: 1)
Created: bing175 (distance: 293, speed: 3, health: 2)
Created: will176 (distance: 286, speed: 8, health: 2)
Created: fee177 (distance: 59, speed: 3, health: 4)
Created: noah178 (distance: 122, speed: 7, health: 5)
Created: potatobot179 (distance: 230, speed: 8, health: 5)
Created: paoletti180 (distance: 264, speed: 4, health: 1)
Created: darden181 (distance: 96, speed: 10, health: 1)
Created: garcia182 (distance: 107, speed: 8, health: 3)
Created: cris183 (distance: 42, speed: 8, health: 4)
Created: bing184 (distance: 56, speed: 3, health: 5)
Created: will185 (distance: 235, speed: 1, health: 4)
Created: fee186 (distance: 160, speed: 3, health: 2)
Created: noah187 (distance: 248, speed: 6, health: 5)
Created: potatobot188 (distance: 131, speed: 4, health: 2)
Created: paoletti189 (distance: 44, speed: 10, health: 5)
Created: darden190 (distance: 163, speed: 1, health: 5)
Created: garcia191 (distance: 249, speed: 4, health: 3)
Created: cris192 (distance: 175, speed: 5, health: 1)
Created: bing193 (distance: 114, speed: 7, health: 2)
Created: will194 (distance: 46, speed: 1, health: 2)
Created: fee195 (distance: 241, speed: 10, health: 1)
Created: noah196 (distance: 75, speed: 4, health: 1)
Created: potatobot197 (distance: 267, speed: 1, health: 5)
Created: paoletti198 (distance: 287, speed: 7, health: 2)
Created: darden199 (distance: 10, speed: 9, health: 3)
Created: garcia200 (distance: 62, speed: 6, health: 2)
Created: cris201 (distance: 28, speed: 2, health: 1)
Created: bing202 (distance: 23, speed: 2, health: 4)
Created: will203 (distance: 160, speed: 2, health: 1)
Created: fee204 (distance: 113, speed: 9, health: 4)
Created: noah205 (distance: 14, speed: 10, health: 1)
Created: potatobot206 (distance: 139, speed: 9, health: 3)
Created: paoletti207 (distance: 211, speed: 8, health: 5)
Created: darden208 (distance: 266, speed: 9, health: 2)
Created: garcia209 (distance: 216, speed: 10, health: 5)
Created: cris210 (distance: 193, speed: 8, health: 1)
Created: bing211 (distance: 176, speed: 4, health: 3)
Created: will212 (distance: 194, speed: 2, health: 3)
Created: fee213 (distance: 298, speed: 6, health: 5)
Created: noah214 (distance: 165, speed: 5, health: 5)
Created: potatobot215 (distance: 236, speed: 8, health: 5)
Created: paoletti216 (distance: 228, speed: 3, health: 3)
Created: darden217 (distance: 102, speed: 2, health: 1)
Created: garcia218 (distance: 162, speed: 3, health: 3)
Created: cris219 (distance: 50, speed: 10, health: 2)
Created: bing220 (distance: 29, speed: 2, health: 5)
Created: will221 (distance: 17, speed: 9, health: 2)
Created: fee222 (distance: 6, speed: 8, health: 5)
Created: noah223 (distance: 244, speed: 6, health: 5)
Created: potatobot224 (distance: 217, speed: 1, health: 5)
Created: paoletti225 (distance: 253, speed: 10, health: 5)
Created: darden226 (distance: 94, speed: 8, health: 3)
Created: garcia227 (distance: 224, speed: 7, health: 1)
Created: cris228 (distance: 42, speed: 6, health: 4)
Created: bing229 (distance: 209, speed: 8, health: 5)
Created: will230 (distance: 248, speed: 9, health: 1)
Created: fee231 (distance: 42, speed: 6, health: 2)
Created: noah232 (distance: 193, speed: 4, health: 5)
Created: potatobot233 (distance: 47, speed: 10, health: 2)
Created: paoletti234 (distance: 14, speed: 3, health: 5)
Created: darden235 (distance: 246, speed: 8, health: 4)
Created: garcia236 (distance: 11, speed: 2, health: 5)
Created: cris237 (distance: 45, speed: 10, health: 1)
Created: bing238 (distance: 76, speed: 8, health: 5)
Created: will239 (distance: 25, speed: 3, health: 1)
Created: fee240 (distance: 201, speed: 10, health: 4)
Created: noah241 (distance: 166, speed: 10, health: 2)
Created: potatobot242 (distance: 44, speed: 10, health: 5)
Created: paoletti243 (distance: 102, speed: 6, health: 5)
Created: darden244 (distance: 115, speed: 3, health: 2)
Created: garcia245 (distance: 239, speed: 10, health: 2)
Created: cris246 (distance: 290, speed: 6, health: 5)
Created: bing247 (distance: 120, speed: 5, health: 1)
Created: will248 (distance: 36, speed: 4, health: 3)
Created: fee249 (distance: 103, speed: 5, health: 4)
Created: noah250 (distance: 54, speed: 3, health: 1)
Created: potatobot251 (distance: 133, speed: 1, health: 5)
Created: paoletti252 (distance: 154, speed: 10, health: 3)
Created: darden253 (distance: 236, speed: 3, health: 5)
Created: garcia254 (distance: 189, speed: 5, health: 3)
Created: cris255 (distance: 254, speed: 7, health: 2)
Created: bing256 (distance: 221, speed: 2, health: 4)
Created: will257 (distance: 299, speed: 4, health: 1)
Created: fee258 (distance: 201, speed: 9, health: 4)
Created: noah259 (distance: 249, speed: 10, health: 1)
Created: potatobot260 (distance: 272, speed: 8, health: 2)
Created: paoletti261 (distance: 86, speed: 8, health: 5)
Created: darden262 (distance: 30, speed: 8, health: 3)
Created: garcia263 (distance: 268, speed: 5, health: 2)
Created: cris264 (distance: 127, speed: 2, health: 5)
Created: bing265 (distance: 194, speed: 9, health: 2)
Created: will266 (distance: 162, speed: 7, health: 2)
Created: fee267 (distance: 151, speed: 9, health: 2)
Created: noah268 (distance: 93, speed: 8, health: 5)
Created: potatobot269 (distance: 70, speed: 7, health: 5)
Created: paoletti270 (distance: 147, speed: 5, health: 4)
Created: darden271 (distance: 291, speed: 2, health: 5)
Created: garcia272 (distance: 290, speed: 4, health: 3)
Created: cris273 (distance: 181, speed: 7, health: 2)
Created: bing274 (distance: 212, speed: 7, health: 2)
Created: will275 (distance: 3, speed: 8, health: 5)
Created: fee276 (distance: 275, speed: 2, health: 3)
Created: noah277 (distance: 142, speed: 2, health: 3)
Created: potatobot278 (distance: 75, speed: 2, health: 3)
Created: paoletti279 (distance: 100, speed: 8, health: 5)
Created: darden280 (distance: 178, speed: 6, health: 5)
Created: garcia281 (distance: 38, speed: 6, health: 4)
Created: cris282 (distance: 256, speed: 2, health: 2)
Created: bing283 (distance: 292, speed: 4, health: 1)
Created: will284 (distance: 252, speed: 5, health: 4)
Created: fee285 (distance: 74, speed: 5, health: 1)
Created: noah286 (distance: 74, speed: 4, health: 1)
Created: potatobot287 (distance: 104, speed: 3, health: 5)
Created: paoletti288 (distance: 289, speed: 10, health: 2)
Created: darden289 (distance: 155, speed: 4, health: 4)
Created: garcia290 (distance: 276, speed: 3, health: 3)
Created: cris291 (distance: 6, speed: 8, health: 3)
Created: bing292 (distance: 54, speed: 4, health: 4)
Created: will293 (distance: 29, speed: 4, health: 1)
Created: fee294 (distance: 252, speed: 5, health: 3)
Created: noah295 (distance: 116, speed: 8, health: 4)
Created: potatobot296 (distance: 161, speed: 10, health: 2)
Created: paoletti297 (distance: 97, speed: 10, health: 4)
Created: darden298 (distance: 132, speed: 3, health: 5)
Created: garcia299 (distance: 281, speed: 8, health: 3)
Created: cris300 (distance: 285, speed: 1, health: 3)
Created: bing301 (distance: 295, speed: 8, health: 5)
Created: will302 (distance: 75, speed: 6, health: 5)
Created: fee303 (distance: 225, speed: 7, health: 2)
Created: noah304 (distance: 214, speed: 6, health: 3)
Created: potatobot305 (distance: 54, speed: 3, health: 2)
Created: paoletti306 (distance: 221, speed: 3, health: 5)
Created: darden307 (distance: 19, speed: 7, health: 2)
Created: garcia308 (distance: 112, speed: 2, health: 1)
Created: cris309 (distance: 275, speed: 3, health: 5)
Created: bing310 (distance: 11, speed: 6, health: 2)
Created: will311 (distance: 29, speed: 6, health: 2)
Created: fee312 (distance: 299, speed: 7, health: 1)
Created: noah313 (distance: 52, speed: 10, health: 2)
Created: potatobot314 (distance: 135, speed: 2, health: 4)
Created: paoletti315 (distance: 214, speed: 1, health: 4)
Created: darden316 (distance: 13, speed: 1, health: 2)
Created: garcia317 (distance: 93, speed: 8, health: 4)
Created: cris318 (distance: 38, speed: 10, health: 1)
Created: bing319 (distance: 176, speed: 6, health: 2)
Created: will320 (distance: 244, speed: 5, health: 2)
Created: fee321 (distance: 74, speed: 9, health: 4)
Created: noah322 (distance: 96, speed: 1, health: 1)
Created: potatobot323 (distance: 35, speed: 3, health: 4)
Created: paoletti324 (distance: 291, speed: 2, health: 1)
Created: darden325 (distance: 204, speed: 6, health: 4)
Created: garcia326 (distance: 247, speed: 5, health: 3)
Created: cris327 (distance: 235, speed: 5, health: 5)
Created: bing328 (distance: 246, speed: 3, health: 4)
Created: will329 (distance: 234, speed: 1, health: 5)
Created: fee330 (distance: 260, speed: 8, health: 4)
Created: noah331 (distance: 15, speed: 7, health: 5)
Created: potatobot332 (distance: 246, speed: 7, health: 4)
Created: paoletti333 (distance: 271, speed: 8, health: 5)
Created: darden334 (distance: 240, speed: 5, health: 2)
Created: garcia335 (distance: 200, speed: 4, health: 1)
Created: cris336 (distance: 204, speed: 3, health: 5)
Created: bing337 (distance: 265, speed: 2, health: 5)
Created: will338 (distance: 153, speed: 3, health: 4)
Created: fee339 (distance: 128, speed: 10, health: 4)
Created: noah340 (distance: 180, speed: 4, health: 4)
Created: potatobot341 (distance: 222, speed: 2, health: 4)
Created: paoletti342 (distance: 15, speed: 8, health: 5)
Created: darden343 (distance: 122, speed: 10, health: 4)
Created: garcia344 (distance: 216, speed: 3, health: 4)
Created: cris345 (distance: 162, speed: 2, health: 1)
Created: bing346 (distance: 205, speed: 8, health: 5)
Created: will347 (distance: 195, speed: 7, health: 5)
Created: fee348 (distance: 171, speed: 4, health: 3)
Created: noah349 (distance: 73, speed: 7, health: 5)
Created: potatobot350 (distance: 64, speed: 4, health: 5)
Created: paoletti351 (distance: 66, speed: 1, health: 1)
Created: darden352 (distance: 252, speed: 9, health: 5)
Created: garcia353 (distance: 65, speed: 9, health: 4)
Created: cris354 (distance: 136, speed: 7, health: 3)
Created: bing355 (distance: 145, speed: 8, health: 3)
Created: will356 (distance: 142, speed: 6, health: 4)
Created: fee357 (distance: 277, speed: 10, health: 5)
Created: noah358 (distance: 162, speed: 8, health: 1)
Created: potatobot359 (distance: 292, speed: 7, health: 5)
Created: paoletti360 (distance: 231, speed: 6, health: 4)
Created: darden361 (distance: 243, speed: 7, health: 3)
Created: garcia362 (distance: 239, speed: 1, health: 2)
Created: cris363 (distance: 195, speed: 7, health: 1)
Created: bing364 (distance: 74, speed: 4, health: 1)
Created: will365 (distance: 252, speed: 10, health: 5)
Created: fee366 (distance: 188, speed: 10, health: 3)
Created: noah367 (distance: 142, speed: 6, health: 1)
Created: potatobot368 (distance: 61, speed: 2, health: 5)
Created: paoletti369 (distance: 43, speed: 6, health: 3)
Created: darden370 (distance: 138, speed: 6, health: 1)
Created: garcia371 (distance: 275, speed: 8, health: 2)
Created: cris372 (distance: 155, speed: 2, health: 2)
Created: bing373 (distance: 234, speed: 4, health: 4)
Created: will374 (distance: 206, speed: 3, health: 4)
Created: fee375 (distance: 59, speed: 9, health: 5)
Created: noah376 (distance: 28, speed: 4, health: 3)
Created: potatobot377 (distance: 8, speed: 10, health: 1)
Created: paoletti378 (distance: 67, speed: 2, health: 2)
Created: darden379 (distance: 162, speed: 5, health: 2)
Created: garcia380 (distance: 202, speed: 9, health: 3)
Created: cris381 (distance: 281, speed: 7, health: 4)
Created: bing382 (distance: 216, speed: 1, health: 1)
Created: will383 (distance: 106, speed: 1, health: 3)
Created: fee384 (distance: 66, speed: 7, health: 2)
Created: noah385 (distance: 1, speed: 4, health: 4)
Created: potatobot386 (distance: 43, speed: 8, health: 5)
Created: paoletti387 (distance: 32, speed: 5, health: 4)
Created: darden388 (distance: 178, speed: 3, health: 4)
Created: garcia389 (distance: 133, speed: 3, health: 1)
Created: cris390 (distance: 25, speed: 5, health: 1)
Created: bing391 (distance: 60, speed: 6, health: 4)
Created: will392 (distance: 239, speed: 3, health: 1)
Created: fee393 (distance: 192, speed: 10, health: 3)
Created: noah394 (distance: 116, speed: 10, health: 1)
Created: potatobot395 (distance: 60, speed: 5, health: 1)
Created: paoletti396 (distance: 13, speed: 2, health: 4)
Created: darden397 (distance: 61, speed: 8, health: 3)
Created: garcia398 (distance: 71, speed: 7, health: 2)
Created: cris399 (distance: 46, speed: 3, health: 1)
Destroyed: noah88 (distance: 6, speed: 9, health: 0)
Destroyed: potatobot377 (distance: 8, speed: 10, health: 0)
Destroyed: cris291 (distance: 6, speed: 8, health: 0)
Destroyed: noah124 (distance: 1, speed: 5, health: 0)
Destroyed: noah385 (distance: 1, speed: 4, health: 0)
Destroyed: bing22 (distance: 6, speed: 7, health: 0)
Destroyed: fee222 (distance: 6, speed: 8, health: 0)
Destroyed: will275 (distance: 3, speed: 8, health: 0)
Destroyed: noah205 (distance: 14, speed: 10, health: 0)
Destroyed: bing310 (distance: 11, speed: 6, health: 0)
Destroyed: cris129 (distance: 13, speed: 7, health: 0)
Destroyed: darden109 (distance: 15, speed: 9, health: 0)
Destroyed: fee150 (distance: 9, speed: 8, health: 0)
Destroyed: will221 (distance: 17, speed: 9, health: 0)
Destroyed: darden199 (distance: 10, speed: 9, health: 0)
Destroyed: noah151 (distance: 4, speed: 4, health: 0)
Destroyed: paoletti342 (distance: 15, speed: 8, health: 0)
Destroyed: will77 (distance: 20, speed: 9, health: 0)
Destroyed: darden307 (distance: 19, speed: 7, health: 0)
Destroyed: fee51 (distance: 23, speed: 8, health: 0)
Destroyed: will131 (distance: 16, speed: 8, health: 0)
Destroyed: darden73 (distance: 11, speed: 4, health: 0)
Destroyed: noah331 (distance: 15, speed: 7, health: 0)
Destroyed: cris318 (distance: 38, speed: 10, health: 0)
Destroyed: fee78 (distance: 26, speed: 7, health: 0)
Destroyed: bing121 (distance: 18, speed: 5, health: 0)
Destroyed: paoletti72 (distance: 36, speed: 10, health: 0)
Destroyed: darden262 (distance: 30, speed: 8, health: 0)
Destroyed: darden154 (distance: 28, speed: 8, health: 0)
Destroyed: cris237 (distance: 45, speed: 10, health: 0)
Destroyed: potatobot233 (distance: 47, speed: 10, health: 0)
Destroyed: will311 (distance: 29, speed: 6, health: 0)
Destroyed: garcia74 (distance: 48, speed: 10, health: 0)
Destroyed: paoletti45 (distance: 47, speed: 10, health: 0)
Destroyed: noah16 (distance: 28, speed: 7, health: 0)
Destroyed: paoletti189 (distance: 44, speed: 10, health: 0)
Destroyed: paoletti234 (distance: 14, speed: 3, health: 0)
Destroyed: potatobot242 (distance: 44, speed: 10, health: 0)
Destroyed: cris390 (distance: 25, speed: 5, health: 0)
Destroyed: noah133 (distance: 59, speed: 10, health: 0)
Destroyed: paoletti144 (distance: 53, speed: 9, health: 0)
Destroyed: cris219 (distance: 50, speed: 10, health: 0)
Destroyed: noah313 (distance: 52, speed: 10, health: 0)
Destroyed: cris147 (distance: 40, speed: 8, health: 0)
Destroyed: noah160 (distance: 33, speed: 6, health: 0)
Destroyed: potatobot35 (distance: 55, speed: 10, health: 0)
Destroyed: cris183 (distance: 42, speed: 8, health: 0)
Destroyed: garcia236 (distance: 11, speed: 2, health: 0)
Destroyed: potatobot386 (distance: 43, speed: 8, health: 0)
Destroyed: paoletti171 (distance: 30, speed: 5, health: 0)
Destroyed: potatobot98 (distance: 68, speed: 10, health: 0)
Destroyed: cris39 (distance: 52, speed: 8, health: 0)
Destroyed: garcia281 (distance: 38, speed: 6, health: 0)
Destroyed: paoletti387 (distance: 32, speed: 5, health: 0)
Destroyed: paoletti396 (distance: 13, speed: 2, health: 0)
Destroyed: will5 (distance: 43, speed: 7, health: 0)
Destroyed: fee375 (distance: 59, speed: 9, health: 0)
Destroyed: fee105 (distance: 37, speed: 5, health: 0)
Destroyed: will293 (distance: 29, speed: 4, health: 0)
Destroyed: fee231 (distance: 42, speed: 6, health: 0)
Destroyed: darden397 (distance: 61, speed: 8, health: 0)
Destroyed: noah115 (distance: 57, speed: 8, health: 0)
Destroyed: noah376 (distance: 28, speed: 4, health: 0)
Destroyed: paoletti162 (distance: 30, speed: 4, health: 0)
Destroyed: paoletti369 (distance: 43, speed: 6, health: 0)
Destroyed: cris228 (distance: 42, speed: 6, health: 0)
Destroyed: garcia353 (distance: 65, speed: 9, health: 0)
Destroyed: will239 (distance: 25, speed: 3, health: 0)
Destroyed: bing139 (distance: 68, speed: 8, health: 0)
Destroyed: garcia110 (distance: 16, speed: 2, health: 0)
Destroyed: potatobot143 (distance: 87, speed: 10, health: 0)
Destroyed: fee321 (distance: 74, speed: 9, health: 0)
Destroyed: darden181 (distance: 96, speed: 10, health: 0)
Destroyed: will32 (distance: 83, speed: 9, health: 0)
Destroyed: fee384 (distance: 66, speed: 7, health: 0)
Destroyed: will248 (distance: 36, speed: 4, health: 0)
Destroyed: paoletti297 (distance: 97, speed: 10, health: 0)
Destroyed: bing238 (distance: 76, speed: 8, health: 0)
Destroyed: darden1 (distance: 66, speed: 7, health: 0)
Destroyed: garcia200 (distance: 62, speed: 6, health: 0)
Destroyed: garcia398 (distance: 71, speed: 7, health: 0)
Destroyed: potatobot134 (distance: 74, speed: 7, health: 0)
Destroyed: bing391 (distance: 60, speed: 6, health: 0)
Destroyed: bing85 (distance: 32, speed: 3, health: 0)
Destroyed: cris93 (distance: 53, speed: 5, health: 0)
Destroyed: noah349 (distance: 73, speed: 7, health: 0)
Destroyed: paoletti261 (distance: 86, speed: 8, health: 0)
Destroyed: potatobot269 (distance: 70, speed: 7, health: 0)
Destroyed: noah394 (distance: 116, speed: 10, health: 0)
Destroyed: darden226 (distance: 94, speed: 8, health: 0)
Destroyed: bing202 (distance: 23, speed: 2, health: 0)
Destroyed: cris138 (distance: 55, speed: 5, health: 0)
Destroyed: garcia317 (distance: 93, speed: 8, health: 0)
Destroyed: potatobot323 (distance: 35, speed: 3, health: 0)
Destroyed: cris111 (distance: 90, speed: 8, health: 0)
Destroyed: noah268 (distance: 93, speed: 8, health: 0)
Destroyed: potatobot395 (distance: 60, speed: 5, health: 0)
Destroyed: garcia101 (distance: 77, speed: 6, health: 0)
Destroyed: garcia92 (distance: 129, speed: 10, health: 0)
Destroyed: darden343 (distance: 122, speed: 10, health: 0)
Destroyed: fee204 (distance: 113, speed: 9, health: 0)
Destroyed: fee339 (distance: 128, speed: 10, health: 0)
Destroyed: paoletti117 (distance: 90, speed: 7, health: 0)
Destroyed: paoletti279 (distance: 100, speed: 8, health: 0)
Destroyed: will302 (distance: 75, speed: 6, health: 0)
Destroyed: darden136 (distance: 39, speed: 3, health: 0)
Destroyed: darden316 (distance: 13, speed: 1, health: 0)
Destroyed: garcia182 (distance: 107, speed: 8, health: 0)
Destroyed: bing292 (distance: 54, speed: 4, health: 0)
Destroyed: cris84 (distance: 106, speed: 8, health: 0)
Destroyed: cris201 (distance: 28, speed: 2, health: 0)
Destroyed: fee285 (distance: 74, speed: 5, health: 0)
Destroyed: cris48 (distance: 131, speed: 9, health: 0)
Destroyed: potatobot26 (distance: 130, speed: 9, health: 0)
